Company , Domain , SecurityGateway , Mail Domain , MX
Walmart , walmart.com , ProofPoint , unknown , mxa-000c7201.gslb.pphosted.com
Exxon Mobil , exxonmobil.com ,  , own-domain , mail24d.exxonmobil.com
Apple , apple.com ,  , own-domain , nwk-aaemail-lapp03.apple.com
Berkshire Hathaway , berkshirehathaway.com , Sonic Wall , unknown , brka.com.snwlhosted.com
McKesson , mckesson.com ,  , own-domain , mail4.mckesson.com
UnitedHealth Group , unitedhealthgroup.com ,  ,  , mail1.corpmailsvcs.com
CVS Health , cvshealth.com , ProofPoint , unknown , mxa-0022b201.gslb.pphosted.com
General Motors , gm.com ,  , own-domain , mx2.imr.gm.com
Ford Motor , ford.com , MessageLabs , unknown , cluster4.us.messagelabs.com
AT&T , att.com , ProofPoint , unknown , mx0b-00191d01.pphosted.com
General Electric , ge.com , ProofPoint , unknown , mxb-00176a02.gslb.pphosted.com
AmerisourceBergen , amerisourcebergen.com , Cisco , unknown , mx2.amerisourcebergen.iphmx.com
Verizon , verizon.com , ProofPoint , unknown , mxa-0024a201.gslb.pphosted.com
Chevron , chevron.com ,  , own-domain , mix.chevron.com
Costco , costco.com , ProofPoint , unknown , mx0b-001f9d01.pphosted.com
Fannie Mae , fanniemae.com , MessageLabs , unknown , cluster5.us.messagelabs.com
Kroger , kroger.com ,  , own-domain , mail2.dmz.kroger.com
Amazon.com , amazon.com ,  , own-domain , amazon-smtp.amazon.com
Walgreens , walgreens.com ,  , own-domain , edge.walgreens.com
Boots , boots.com , Cisco , unknown , mx2.wba.c3s2.iphmx.com
HP , hp.com ,  , own-domain , smtp.hp.com
Cardinal Health , cardinal.com ,  , own-domain , smtp4.cardinal.com
Express Scripts Holding , express-scripts.com ,  , own-domain , ps2imail01.express-scripts.com
J.P. Morgan Chase , jpmorgan.com , MessageLabs , unknown , cluster14.us.messagelabs.com
Boeing , boeing.com ,  , own-domain , phx-mbsin-04.mbs.boeing.net
Microsoft , microsoft.com ,  , Office365 , microsoft-com.mail.protection.outlook.com
Bank of America Corp. , bankofamerica.com , ProofPoint , unknown , mxa-0000ec05.gslb.pphosted.com
Wells Fargo , wellsfargo.com , MessageLabs , unknown , cluster15.us.messagelabs.com
Home Depot , homedepot.com , ProofPoint , unknown , mxb-000e6601.gslb.pphosted.com
Citigroup , citi.com ,  , own-domain , mx-a.mail.citi.com
