Company , Domain , SecurityGateway , Mail Domain , MX
El Paso , elpaso.com , Cisco , unknown , mx1.kindermorgan.iphmx.com
Reliant Energy , reliantenergy.com ,  , Office365 , nrg-com.mail.protection.outlook.com
SBC Communications , sbc.com , ProofPoint , unknown , mx0b-00191d01.pphosted.com
Morgan Stanley Dean Witter , msdw.com ,  ,  , mx1.morganstanley.com
Dynegy , dynegy.com , Cisco , unknown , mx1.dynegy.iphmx.com
Aquila , utilicorp.com ,  ,  , mx76.mb1p.com
Merrill Lynch , ml.com , ProofPoint , unknown , mxa-0000ec05.gslb.pphosted.com
AOL Time Warner , aoltimewarner.com ,  ,  , atlmail0.turner.com
Albertson's , albertsons.com ,  , Office365 , albertsons-com.mail.protection.outlook.com
Kmart , bluelight.com ,  ,  , other.juno.com
Safeway , safeway.com ,  , Office365 , safeway-com.mail.protection.outlook.com
Compaq Computer , compaq.com ,  ,  , smtp.hpe.com
Mirant , mirant.com ,  , own-domain , smtp01.mirant.com
Dell Computer , dell.com , Cisco , unknown , mx2.dellcorporate.iphmx.com
TXU , txu.com ,  , Office365 , txu-com.mail.protection.outlook.com
ConAgra , conagra.com , Cisco , unknown , mx2.conagrafoods.iphmx.com
Delphi , delphiauto.com , ProofPoint , unknown , mx0a-00275a01.pphosted.com
Sprint , sprint.com ,  , Office365 , sprint-com.mail.protection.outlook.com
Georgia-Pacific , gp.com , ProofPoint , unknown , mxb-00164e01.gslb.pphosted.com
BellSouth , bellsouth.com , ProofPoint , unknown , mx0a-00191d01.pphosted.com
CVS , cvs.com , ProofPoint , unknown , mxa-0022b201.gslb.pphosted.com
Sun Microsystems , sun.com ,  ,  , userp2030.oracle.com
Sara Lee , saralee.com ,  ,  , pps1.tyson.com
TRW , trw.com ,  , Office365 , trw-com.mail.protection.outlook.com
May Department Stores , maycompany.com , CSC Global , unknown , custmx.cscdns.net
Wyeth , wyeth.com , ProofPoint , unknown , mxa-00013f02.gslb.pphosted.com
Eastman Kodak , kodak.com ,  , Office365 , kodak-com.mail.protection.outlook.com
Circuit City Stores , circuitcity.com ,  , Office365 , circuitcity-com.mail.protection.outlook.com
Cinergy , cinergy.com ,  , own-domain , spam.cinergycinemas.com
Anheuser-Busch , anheuser-busch.com , ProofPoint , unknown , mxa-000c8e03.gslb.pphosted.com
Winn-Dixie Stores , winn-dixie.com , ProofPoint , unknown , mxa-00187801.gslb.pphosted.com
WellPoint Health Networks , wellpoint.com , ProofPoint , unknown , mxa-001bee01.gslb.pphosted.com
Sunoco , sunocoinc.com , Cisco , unknown , esa2.energytransfer.iphmx.com
PacifiCare Health Systems , pacificare.com ,  ,  , mail10.corpmailsvcs.com
Farmland Industries , farmland.com , MessageLabs , unknown , cluster1.us.messagelabs.com
Allegheny Energy , firstenergycorp.com ,  , own-domain , aesa02.firstenergycorp.com
MBNA , mbna.com , ProofPoint , unknown , mxa-0000ec05.gslb.pphosted.com
Northwest Airlines , nwa.com , Cisco , unknown , mx1.delta.iphmx.com
Schering-Plough , schering-plough.com ,  ,  , bb1dns2.ddc.dartmail.net
Limited , limited.com ,  , Office365 , limited-com.mail.protection.outlook.com
John Hancock Financial Services , jhancock.com , FireEye , unknown , primary.us.email.fireeyecloud.com
Burlington Northern Santa Fe , bnsf.com ,  , own-domain , Mail3.bnsf.com
Agilent Technologies , agilent.com ,  , Office365 , agilent-com.mail.protection.outlook.com
