Company , Domain , SecurityGateway , Mail Domain , MX
Sinopec Group , sinopec ,  , own-domain , mailmx4.sinopec.com
Volkswagen , volkswagen ,  ,  , mg1.vw.com
U.S. Postal Service , usps ,  , own-domain , gk-c-mail.srvs.usps.gov
Compass Group , compass ,  , Google , aspmx.l.google.com
Gazprom , gazprom ,  ,  , mailrelay.gazprom.ru
CHS , chs , Barracuda , unknown , d63761a.ess.barracudanetworks.com
BMW , bmw , Cisco , unknown , mx1.bmw.c3s2.iphmx.com
Air France-KLM Group , klm , Cisco , unknown , mx1.afkl.c3s2.iphmx.com
Air France-KLM Group , airfrance , Cisco , unknown , mx1.afkl.c3s2.iphmx.com
Siemens , siemens ,  , own-domain , hylas.siemens.com
Vale , vale , Cisco , unknown , esa1.vale.iphmx.com
Finatis , finatis ,  , own-domain , mail.finatis.com
Nestle, nestle ,  , Office365 , nestle-com.mail.protection.outlook.com
Edeka Zentrale , edeka ,  ,  , mailin.edeka.de
Hitachi , hitachi ,  , own-domain , hitiij.hitachi.co.jp
Groupe Auchan , auchan ,  , Google , aspmx.l.google.com
Sberbank , sberbank ,  ,  , email1.sberbank.ru
EXOR Group , exor ,  ,  , milter2.gruppoifi.com
Samsung Electronics , samsung ,  , own-domain , mailin.samsung.com
Rolls-Royce Holdings , rolls-royce , Cisco , unknown , mx1.rolls-royce.c3s2.iphmx.com
Bosch , bosch ,  , own-domain , de-in1.bosch-org.com
Hutchison Whampoa , hutch ,  , own-domain , mailgw1.mail.hutch.net
Daimler , daimler ,  , own-domain , mail-in.daimler.com
HSBC Holdings , hsbc ,  , own-domain , symailserver.hsbc.co.uk
Panasonic , panasonicco ,  ,  , smtp.mei.co.jp
AEON , aeon ,  ,  , 
Rosneft Oil , rosneft ,  ,  , mail10.rosneft.ru
SNCF , sncf ,  ,  , mail-lyon3.sncf.fr
Nippon Tel. & Tel. , ntt ,  , own-domain , cmcodfcs01.noc.ntt.com
Sumitomo Electric Industries , sumitomo ,  , own-domain , mgex2.sumitomo.com
Henan Energy & Chemical , henan ,  ,  , 
Sharp , sharp , Cisco , unknown , mx1.sharp.iphmx.com
