Company , Domain , SecurityGateway , MailGateway , MX
Walmart , walmart , ProofPoint , unknown , mxa-000c7201.gslb.pphosted.com
Exxon Mobil , exxonmobil ,  , own-domain , mail24d.exxonmobil.com
Apple , apple ,  , own-domain , nwk-aaemail-lapp03.apple.com
Berkshire Hathaway , berkshirehathaway ,  ,  , brka.com.snwlhosted.com
McKesson , mckesson ,  , own-domain , mail6.mckesson.com
UnitedHealth Group , unitedhealthgroup ,  ,  , mail1.corpmailsvcs.com
CVS Health , cvshealth , ProofPoint , unknown , mxb-0022b201.gslb.pphosted.com
General Motors , gm ,  , own-domain , mx2.imr.gm.com
Ford Motor , ford , MessageLabs , unknown , cluster4.us.messagelabs.com
AT&T , att , ProofPoint , unknown , mx0a-00191d01.pphosted.com
General Electric , ge , ProofPoint , unknown , mxb-00176a02.gslb.pphosted.com
AmerisourceBergen , amerisourcebergen , Cisco , unknown , mx1.amerisourcebergen.iphmx.com
Verizon , verizon , ProofPoint , unknown , mxa-0024a201.gslb.pphosted.com
Chevron , chevron ,  , own-domain , mix.chevron.com
Costco , costco , ProofPoint , unknown , mx0b-001f9d01.pphosted.com
Fannie Mae , fanniemae , MessageLabs , unknown , cluster5.us.messagelabs.com
Kroger , kroger ,  , own-domain , mail2.dmz.kroger.com
Amazon.com , amazon ,  , own-domain , amazon-smtp.amazon.com
Walgreens Boots Alliance , walgreensbootsalliance ,  ,  , custmx.cscdns.net
Walgreens , walgreens ,  , own-domain , edge.walgreens.com
Boots , boots , Cisco , unknown , mx2.wba.c3s2.iphmx.com
HP , hp ,  , own-domain , smtp.hp.com
Cardinal Health , cardinal ,  , own-domain , smtp4.cardinal.com
Express Scripts Holding , express-scripts ,  , own-domain , ps2imail01.express-scripts.com
J.P. Morgan Chase , jpmorgan , MessageLabs , unknown , cluster14.us.messagelabs.com
Boeing , boeing ,  , own-domain , phx-mbsin-02.mbs.boeing.net
Microsoft , microsoft ,  , Office 365 , microsoft-com.mail.protection.outlook.com
Bank of America Corp. , bankofamerica , ProofPoint , unknown , mxb-0000ec05.gslb.pphosted.com
Wells Fargo , wellsfargo , MessageLabs , unknown , cluster15.us.messagelabs.com
Home Depot , homedepot , ProofPoint , unknown , mxa-000e6601.gslb.pphosted.com
Citigroup , citi ,  , own-domain , mx-b.mail.citi.com
Phillips 66 , p66 , ProofPoint , unknown , mxa-001c4c01.gslb.pphosted.com
IBM , ibm , ProofPoint , unknown , mx0b-001b2d01.pphosted.com
Valero Energy , valero , MessageLabs , unknown , cluster9.us.messagelabs.com
Anthem , anthem , ProofPoint , unknown , mxb-001bee01.gslb.pphosted.com
Procter & Gamble , pg , MessageLabs , unknown , cluster8.us.messagelabs.com
State Farm Insurance Cos. , statefarm ,  , own-domain , mail4.statefarm.com
Alphabet , google ,  , Google , aspmx.l.google.com
Comcast , comcast ,  , own-domain , mx20.comcast.com
Target , target ,  , own-domain , smtp01.target.com
Johnson & Johnson , jnj , Cisco , unknown , mx1.jnj.iphmx.com
MetLife , metlife ,  , own-domain , ms29.metlife.com
Archer Daniels Midland , adm ,  , Office 365 , adm-com.mail.protection.outlook.com
Marathon Petroleum , marathonpetroleum ,  , Office 365 , marathonpetroleum-com.mail.protection.outlook.com
Freddie Mac , freddiemac ,  , own-domain , he2xmail001.freddiemac.com
PepsiCo , pepsico ,  , own-domain , mail.pepsico.com
United Technologies , utc , ProofPoint , unknown , mxb-00105401.gslb.pphosted.com
Aetna , aetna ,  , own-domain , inboundemail.aei.aetna.com
