Company , Domain , SecurityGateway , Mail Domain , MX
El Paso , elpaso.com , Cisco , unknown , mx1.kindermorgan.iphmx.com
Reliant Energy , reliantenergy.com ,  , _Office365 , nrg-com.mail.protection.outlook.com
SBC Communications , sbc.com , ProofPoint , unknown , mx0b-00191d01.pphosted.com
Morgan Stanley Dean Witter , morganstanley.com ,  , own-domain , mx1.morganstanley.com
Dynegy , dynegy.com , Cisco , unknown , mx1.dynegy.iphmx.com
Aquila , utilicorp.com ,  ,  , mx76.mb1p.com
Merrill Lynch , ml.com , ProofPoint , unknown , mxa-0000ec05.gslb.pphosted.com
AOL Time Warner , turner.com , ProofPoint , unknown , mxb-000c6b02.gslb.pphosted.com
Albertson's , albertsons.com ,  , _Office365 , albertsons-com.mail.protection.outlook.com
Kmart , bluelight.com ,  , Juno , other.juno.com
Safeway , safeway.com ,  , _Office365 , safeway-com.mail.protection.outlook.com
Compaq Computer , hpe.com ,  , own-domain , smtp.hpe.com
Mirant , mirant.com ,  , own-domain , smtp01.mirant.com
Dell Computer , dell.com , Cisco , unknown , mx1.dellcorporate.iphmx.com
TXU , txu.com ,  , _Office365 , txu-com.mail.protection.outlook.com
ConAgra , conagra.com , Cisco , unknown , mx1.conagrafoods.iphmx.com
Delphi , delphiauto.com , ProofPoint , unknown , mx0b-00275a01.pphosted.com
Sprint , sprint.com ,  , _Office365 , sprint-com.mail.protection.outlook.com
Georgia-Pacific , gp.com , ProofPoint , unknown , mxb-00164e01.gslb.pphosted.com
BellSouth , bellsouth.com , ProofPoint , unknown , mx0a-00191d01.pphosted.com
CVS , cvs.com , ProofPoint , unknown , mxb-0022b201.gslb.pphosted.com
Sara Lee , tyson.com ,  , own-domain , pps3.tyson.com
TRW , trw.com ,  , _Office365 , trw-com.mail.protection.outlook.com
May Department Stores , maycompany.com , CSC Global , unknown , custmx.cscdns.net
Wyeth , wyeth.com , ProofPoint , unknown , mxa-00013f02.gslb.pphosted.com
Eastman Kodak , kodak.com ,  , _Office365 , kodak-com.mail.protection.outlook.com
Circuit City Stores , circuitcity.com ,  , _Office365 , circuitcity-com.mail.protection.outlook.com
Cinergy , cinergy.com ,  , own-domain , spam.cinergycinemas.com
Anheuser-Busch , anheuser-busch.com , ProofPoint , unknown , mxa-000c8e03.gslb.pphosted.com
Winn-Dixie Stores , winn-dixie.com , ProofPoint , unknown , mxb-00187801.gslb.pphosted.com
WellPoint Health Networks , wellpoint.com , ProofPoint , unknown , mxb-001bee01.gslb.pphosted.com
Sunoco , sunocoinc.com , Cisco , unknown , esa1.energytransfer.iphmx.com
Farmland Industries , farmland.com , MessageLabs , unknown , cluster1.us.messagelabs.com
Allegheny Energy , firstenergycorp.com ,  , own-domain , aesa02.firstenergycorp.com
MBNA , mbna.com , ProofPoint , unknown , mxb-0000ec05.gslb.pphosted.com
Northwest Airlines , nwa.com , Cisco , unknown , mx1.delta.iphmx.com
Schering-Plough , schering-plough.com ,  ,  , bb1dns2.ddc.dartmail.net
Limited , limited.com ,  , _Office365 , limited-com.mail.protection.outlook.com
John Hancock Financial Services , jhancock.com , FireEye , unknown , primary.us.email.fireeyecloud.com
Burlington Northern Santa Fe , bnsf.com ,  , own-domain , Mail3.bnsf.com
Agilent Technologies , agilent.com ,  , _Office365 , agilent-com.mail.protection.outlook.com
St. Paul Cos. , spt.com ,  , own-domain , emailj.spt.com
